Height (m),Baseline t* (s),Δt* (+1% g0) [ms],Δt* (+1% g') [ms],Δt* (+1% cD*) [ms]
10.0,1.4277871034607743,-7.086333704562797,-3.7447802636592087e-06,0.0006357071056228847
20.0,2.0192325297566343,-10.021688783149685,-1.0587907883774506e-05,0.0012709058441195964
40.0,2.8556992147765246,-14.173555913807423,-2.995371151115478e-05,0.002542269181837753
